id,latitude,longitude,num_bus_2km,num_subway_2km,num_shop_2km,nearest_shop(m),num_restaurant_2km,neighbourhood_cleansed,room_type,accommodates,baths,beds,days,amenities,price,future_occupancy
35284317,49.26922,-123.13969,222,3,143,46.67431288256229,436,Fairview,Entire home/apt,4,2.0,2,1519,17,250.0,1.0
14247519,49.28043,-123.10105,287,9,166,90.24200521057746,501,Downtown Eastside,Entire home/apt,2,1.0,1,1927,19,189.0,0.4
28136866,49.27941,-123.11946,338,10,168,127.95659344616335,703,Downtown,Entire home/apt,4,1.0,3,2332,17,274.0,0.367
46490843,49.28412,-123.10376,264,8,165,208.0003371569788,499,Downtown,Entire home/apt,2,1.0,1,2128,15,100.0,0.0
40115285,49.2708,-123.10389,341,10,171,150.61032523173074,565,Mount Pleasant,Entire home/apt,5,1.5,2,4471,12,132.0,1.0
41723288,49.27387,-123.13053,318,9,160,167.0989055310186,720,Downtown,Entire home/apt,2,1.0,2,2142,18,129.0,0.9
13429931,49.24281,-123.13318,174,2,149,1463.1055889655622,52,Shaughnessy,Private room,2,0.5,1,2042,11,56.0,0.733
24500508,49.2886,-123.12313,235,7,159,20.623412873165645,588,Downtown,Entire home/apt,3,1.0,2,1298,12,226.0,0.767
3379810,49.27402,-123.054,193,3,146,490.6514836859516,140,Hastings-Sunrise,Entire home/apt,5,2.0,4,2696,17,225.0,1.0
11207279,49.29236,-123.13609,157,5,135,127.95232977001889,397,West End,Entire home/apt,3,1.0,1,3181,20,119.0,1.0
24721816,49.27867,-123.10852,322,10,164,101.46150532542967,620,Downtown,Entire home/apt,6,2.0,4,788,19,267.0,0.2
27225352,49.25011,-123.12779,204,2,180,824.3391569719332,170,Shaughnessy,Entire home/apt,2,1.0,2,1321,17,75.0,1.0
45671895,49.23533,-123.03588,240,3,125,98.278560937956,94,Renfrew-Collingwood,Private room,1,0.5,1,937,8,21.0,1.0
34019239,49.25414,-123.07883,218,4,177,252.48491653744114,229,Kensington-Cedar Cottage,Entire home/apt,6,1.0,3,2624,19,119.0,0.467
42745752,49.24502,-123.10503,186,2,173,257.77576553931465,146,Riley Park,Entire home/apt,5,2.5,4,3102,16,499.0,1.0
18525552,49.28138,-123.11857,311,9,168,97.77148520567805,661,Downtown,Entire home/apt,3,1.0,1,1649,14,89.0,1.0
24748690,49.26739,-123.14272,220,2,141,46.96195944309324,372,Fairview,Entire home/apt,4,2.0,2,1606,20,200.0,1.0
4054111,49.25886,-123.10898,230,5,186,517.2068968309788,268,Mount Pleasant,Entire home/apt,4,2.0,3,3861,12,250.0,0.8
50684448,49.27777,-123.12609,315,10,161,68.55584029547991,736,Downtown,Entire home/apt,2,1.0,1,131,18,225.0,0.533
36005894,49.28098,-123.10952,296,9,165,142.62855702161386,585,Downtown,Private room,2,1.0,1,866,9,155.0,1.0
18177758,49.24582,-123.11826,181,3,179,424.764793562512,128,South Cambie,Entire home/apt,6,1.0,2,3758,19,186.0,0.0
50489967,49.27898,-123.10906,319,10,165,103.52833408774742,623,Downtown,Entire home/apt,6,1.0,3,814,17,218.0,0.167
5482135,49.24243,-123.04059,243,4,145,719.6131900622885,125,Renfrew-Collingwood,Entire home/apt,6,2.0,3,3054,19,160.0,0.5
53173404,49.25984,-123.07746,206,3,179,535.9241792425734,215,Kensington-Cedar Cottage,Private room,2,0.5,1,474,9,52.0,0.0
35619056,49.27975,-123.06576,152,2,159,47.16269122750213,119,Grandview-Woodland,Entire home/apt,4,1.0,3,879,14,180.0,0.633
22938316,49.27899,-123.12323,320,10,165,59.56668967055598,722,Downtown,Entire home/apt,4,1.0,1,1841,19,120.0,0.267
37215967,49.26301,-123.0724,178,3,181,208.85532481042824,158,Grandview-Woodland,Entire home/apt,4,1.0,2,2512,19,134.0,0.733
17497419,49.27045,-123.14534,207,1,137,202.33325866853318,377,Fairview,Entire home/apt,6,1.0,2,3047,20,247.0,0.9
46476146,49.2795,-123.1074,315,10,165,32.66151461689645,605,Downtown,Entire home/apt,3,1.0,1,4029,19,142.0,0.5
7822189,49.25211,-123.03292,203,5,134,686.184264450285,59,Renfrew-Collingwood,Private room,2,0.5,1,2284,13,30.0,0.033
49417587,49.281143,-123.125366,281,8,168,71.3882178855518,657,Downtown,Entire home/apt,2,1.0,2,1657,20,110.0,1.0
7788230,49.21311,-123.11348,118,2,65,420.6096355272002,43,Marpole,Private room,1,1.0,1,2281,5,38.0,1.0
3040581,49.281147,-123.125954,278,8,168,114.05133854181577,650,Downtown,Entire home/apt,4,2.0,2,3825,18,188.0,1.0
21478209,49.27297,-123.12575,337,10,161,176.38146220326266,712,Downtown,Entire home/apt,6,3.0,3,3058,18,275.0,0.167
35423100,49.2804,-123.11,307,10,166,136.86796002055146,601,Downtown,Entire home/apt,6,1.5,3,2385,18,278.0,0.2
52886456,49.23929,-123.03265,240,4,128,86.34049351143503,95,Renfrew-Collingwood,Entire home/apt,3,1.0,2,2113,20,120.0,0.633
42301735,49.27141,-123.03651,173,3,106,241.1924394705166,81,Hastings-Sunrise,Private room,2,1.0,1,751,14,138.0,1.0
20270616,49.22652,-123.09526,196,2,103,320.20124129877183,45,Sunset,Private room,2,1.0,1,1579,18,75.0,1.0
29991290,49.28563,-123.12459,238,7,163,40.168206532250096,601,West End,Entire home/apt,5,1.0,2,1092,20,211.0,0.5
39090466,49.26911,-123.05964,196,4,164,265.44797587428155,143,Grandview-Woodland,Private room,2,1.5,1,2300,14,35.0,1.0
47821870,49.27926,-123.1004,293,9,163,216.04590628429233,514,Downtown Eastside,Entire home/apt,3,1.0,1,788,20,229.0,0.0
31221804,49.27622,-123.11734,359,10,163,165.58974354120565,681,Downtown,Entire home/apt,4,1.0,1,4471,17,100.0,0.0
19101912,49.24118,-123.09683,214,2,165,359.73656101504804,135,Riley Park,Entire home/apt,7,2.0,5,1616,10,300.0,1.0
51411287,49.28463,-123.14098,195,5,136,189.79673159563265,522,West End,Entire home/apt,3,1.0,1,742,12,374.0,0.067
34258439,49.24388,-123.09462,200,2,170,331.9102045768354,146,Riley Park,Entire home/apt,5,1.0,4,2398,20,119.0,0.533
23616175,49.27452,-123.12623,335,10,161,19.327131886295607,760,Downtown,Entire home/apt,6,2.0,3,3447,20,400.0,0.033
45003088,49.27076,-123.10098,319,10,173,361.5737231782621,503,Mount Pleasant,Entire home/apt,2,1.0,1,1878,13,90.0,1.0
50645421,49.28304,-123.13166,244,7,160,153.52046930182038,599,West End,Entire home/apt,4,1.0,2,1052,9,134.0,1.0
52633783,49.28329,-123.09878,246,8,168,269.4370483390437,425,Downtown Eastside,Entire home/apt,3,1.0,1,2014,11,149.0,1.0
48702764,49.27544,-123.12427,348,10,162,32.52865795521296,763,Downtown,Entire home/apt,6,2.5,3,879,20,349.0,0.9
24801728,49.26871,-123.05945,197,4,164,270.0874730504563,143,Grandview-Woodland,Entire home/apt,4,1.5,2,2495,17,199.0,1.0
48364237,49.27846,-123.10899,323,10,164,139.63837714315662,622,Downtown,Entire home/apt,4,1.0,2,2265,18,271.0,0.467
22188990,49.27167,-123.07644,236,4,175,481.8534150597933,201,Grandview-Woodland,Entire home/apt,2,1.0,1,2925,16,73.0,1.0
37526079,49.25869,-123.06761,199,5,172,213.21126169704957,173,Kensington-Cedar Cottage,Entire home/apt,2,1.0,1,1106,16,72.0,0.8
51389437,49.27564,-123.11385,350,10,162,140.29899517348846,672,Downtown,Entire home/apt,2,1.0,1,538,14,163.0,0.467
6494884,49.27177,-123.06063,188,4,164,388.85360175764026,143,Grandview-Woodland,Entire home/apt,6,2.5,3,2360,19,340.0,1.0
12209150,49.28641,-123.11897,253,8,165,92.16037300035335,615,Downtown,Entire home/apt,2,1.0,1,3426,18,139.0,0.7
50902393,49.27309,-123.12704,334,10,160,153.55000693688882,710,Downtown,Entire home/apt,6,2.0,3,668,15,684.0,0.033
15598497,49.2902,-123.14282,126,2,135,274.2062795546934,335,West End,Entire home/apt,3,1.0,2,3825,14,88.0,1.0
42626894,49.28442,-123.12949,233,7,161,248.0004705427739,594,West End,Private room,2,0.5,1,721,11,100.0,0.0
50415395,49.21227,-123.123,130,3,58,545.2374285735388,45,Marpole,Entire home/apt,8,3.5,4,147,15,437.0,0.267
26956652,49.27963,-123.09987,289,9,166,182.86227513716324,498,Downtown Eastside,Entire home/apt,4,1.0,2,2612,18,108.0,0.5
37884820,49.24696,-123.10397,203,3,180,183.4290943477119,184,Riley Park,Entire home/apt,3,1.0,2,1461,20,110.0,1.0
49531486,49.25579,-123.04438,201,6,140,312.96804655303663,87,Renfrew-Collingwood,Private room,2,0.5,1,778,11,47.0,0.533
47054802,49.27535,-123.13078,306,9,159,19.96465718475632,726,Downtown,Entire home/apt,2,1.0,1,338,12,100.0,0.067
35680197,49.27968,-123.10883,313,10,166,59.47058110656823,611,Downtown,Entire home/apt,5,2.0,3,877,20,399.0,0.033
30320924,49.2779,-123.12067,349,10,165,110.96416933278049,718,Downtown,Entire home/apt,5,1.0,3,1670,18,125.0,1.0
51312869,49.26352,-123.08208,235,4,183,289.42608587084993,232,Mount Pleasant,Entire home/apt,4,1.0,2,1850,19,72.0,1.0
32750745,49.28872,-123.12202,238,7,161,66.3375425017505,587,Downtown,Entire home/apt,4,1.0,3,3034,16,105.0,0.067
1961440,49.27336,-123.12771,327,10,160,140.9459814171174,722,Downtown,Entire home/apt,3,1.0,1,3755,19,125.0,0.867
43899731,49.27333,-123.12758,328,10,160,139.4415978680664,722,Downtown,Entire home/apt,4,1.0,2,502,15,254.0,1.0
31339164,49.24117,-123.02709,231,3,127,272.8249248111338,109,Renfrew-Collingwood,Entire home/apt,2,1.0,2,1224,20,87.0,1.0
45486941,49.24433,-123.10442,186,2,171,222.33192074574717,141,Riley Park,Entire home/apt,4,2.0,2,3204,8,67.0,1.0
45531730,49.27342,-123.12829,325,9,160,161.30223061423405,717,Downtown,Entire home/apt,2,1.0,1,411,17,99.0,0.967
